parent_id,method,matrix_count,direction_repeat,training_repeat,status,parameter_success,output_l1_error,coefficient_l1_norm,joint_parameter_error,angular_gaussian_nmse,logical_learning_queries,minimum_hidden_weight,run_id
T512_seed0,random_1,3,1,,complete,False,0.4907582099588633,1.0832256149384105,0.4907582099588633,0.0721344986545453,31191992568,-0.03682957340855235,T512_seed0_repeat1_M3_random_1
T512_seed0,random_64,3,1,,complete,False,0.47254388527704905,1.0832256149384096,0.47254388527704905,0.0763863250040013,31191992568,-0.037795197312539844,T512_seed0_repeat1_M3_random_64
T512_seed0,two_hessian,6,1,,complete,False,0.4709219045358354,1.0832256149384094,0.4709219045358354,0.07665804966342166,31191992508,-0.038140980525369655,T512_seed0_repeat1_M6_two_hessian
T512_seed0,best_single,6,1,,complete,False,0.4709219045358354,1.0832256149384094,0.4709219045358354,0.07665804966342166,31191992658,-0.038140980525369655,T512_seed0_repeat1_M6_best_single
T512_seed0,random_1,6,1,,complete,False,0.47303654312862786,1.0832256149384105,0.47303654312862786,0.07486371678996466,31191992658,-0.03940119222026752,T512_seed0_repeat1_M6_random_1
T512_seed0,random_64,6,1,,complete,False,0.47790069785192535,1.0832256149384105,0.47790069785192535,0.07375419825394243,31191992658,-0.040374961050522636,T512_seed0_repeat1_M6_random_64
T512_seed0,two_hessian,12,1,,complete,False,0.4709219045358354,1.0832256149384094,0.4709219045358354,0.07665804966342166,31191992508,-0.038140980525369655,T512_seed0_repeat1_M12_two_hessian
T512_seed0,best_single,12,1,,complete,False,0.47200745470393046,1.083225614938411,0.47200745470393046,0.07467885670020714,31191992838,-0.040808469353573955,T512_seed0_repeat1_M12_best_single
T512_seed0,random_1,12,1,,complete,False,0.45601036001666995,1.0832256149384096,0.45601036001666995,0.07903539573292061,31191992838,-0.03825070448305478,T512_seed0_repeat1_M12_random_1
T512_seed0,random_64,12,1,,complete,False,0.48091748443313376,1.08322561493841,0.48091748443313376,0.07333669628789344,31191992838,-0.04034019150144781,T512_seed0_repeat1_M12_random_64
T512_seed0,random_8,12,1,,complete,False,0.4738477021664707,1.0832256149384112,0.4738477021664707,0.07487531448900389,31191992838,-0.039648202137331515,T512_seed0_repeat1_M12_random_8
T512_seed0,random_32,12,1,,complete,False,0.4738477021664707,1.0832256149384112,0.4738477021664707,0.07487531448900389,31191992838,-0.039648202137331515,T512_seed0_repeat1_M12_random_32
T512_seed0,two_hessian,24,1,,complete,False,0.4709219045358354,1.0832256149384094,0.4709219045358354,0.07665804966342166,31191992508,-0.038140980525369655,T512_seed0_repeat1_M24_two_hessian
T512_seed0,best_single,24,1,,complete,False,0.47200745470393046,1.083225614938411,0.47200745470393046,0.07467885670020714,31191993198,-0.040808469353573955,T512_seed0_repeat1_M24_best_single
T512_seed0,random_1,24,1,,complete,False,0.47109307191842154,1.0832256149384112,0.47109307191842154,0.07761046259528635,31191993198,-0.03782510727588128,T512_seed0_repeat1_M24_random_1
T512_seed0,random_64,24,1,,complete,False,0.47956325033737746,1.0832256149384103,0.47956325033737746,0.07376876615776752,31191993198,-0.039221122275732094,T512_seed0_repeat1_M24_random_64
T512_seed0,two_hessian,3,2,,complete,False,0.49215011554757526,1.0832256149384096,0.49215011554757526,0.06293897855454647,31191992508,-0.07081627254879656,T512_seed0_repeat2_M3_two_hessian
T512_seed0,best_single,3,2,,complete,False,0.46781861861765517,1.0832256149384099,0.46781861861765517,0.07764777254972914,31191992568,-0.03933891627652888,T512_seed0_repeat2_M3_best_single
T512_seed0,random_1,3,2,,complete,False,0.4562665088714232,1.08322561493841,0.4562665088714232,0.08657015857681072,31191992568,-0.03383692269619533,T512_seed0_repeat2_M3_random_1
T512_seed0,random_64,3,2,,complete,False,0.4739812716896302,1.0832256149384107,0.4739812716896302,0.07684288623787117,31191992568,-0.03660391421194072,T512_seed0_repeat2_M3_random_64
T512_seed0,two_hessian,6,2,,complete,False,0.49215011554757526,1.0832256149384096,0.49215011554757526,0.06293897855454647,31191992508,-0.07081627254879656,T512_seed0_repeat2_M6_two_hessian
T512_seed0,best_single,6,2,,complete,False,0.47357899106944945,1.0832256149384103,0.47357899106944945,0.07620840512126333,31191992658,-0.03828577115856333,T512_seed0_repeat2_M6_best_single
